epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,189.721,1.20384,2.62035,1.31674,0.00601,1,0.74459,0.51127,0.86418,2.76073,0.95693,0.07435,0.00135,0.00135
1,200.178,1.20384,2.62035,1.31674,0.00601,1,0.74459,0.51127,0.86418,2.76073,0.95693,0.07435,0.00135,0.00135
2,390.815,1.18706,1.81807,1.25423,0.96383,0.65967,0.84752,0.61346,0.88034,2.2925,1.01729,0.0476675,0.0026675,0.0026675
3,588.868,1.16771,1.5969,1.22535,0.9192,0.58911,0.75285,0.50297,1.13717,2.05463,1.14997,0.020901,0.003901,0.003901
4,780.35,1.1803,1.52328,1.25075,0.78318,0.66832,0.75622,0.51464,1.07833,1.76951,1.14103,0.00455,0.00455,0.00455
5,970.125,1.17789,1.50169,1.25919,0.85247,0.66337,0.78097,0.4954,1.24751,1.70383,1.26168,0.0044,0.0044,0.0044
6,1163.86,1.19751,1.48333,1.28727,0.84413,0.67027,0.7785,0.52303,1.1657,1.50321,1.2033,0.00425,0.00425,0.00425
7,1353,1.17018,1.45253,1.28363,0.89065,0.68546,0.79399,0.53351,1.18082,1.53132,1.24412,0.0041,0.0041,0.0041
8,1548.37,1.19052,1.38686,1.29464,0.81212,0.72757,0.79821,0.50936,1.29116,1.56838,1.2462,0.00395,0.00395,0.00395
9,1712.82,1.19471,1.33544,1.27186,0.86674,0.67616,0.78192,0.49402,1.29168,1.44919,1.24266,0.0038,0.0038,0.0038
10,1882.67,1.18624,1.39075,1.27413,0.8584,0.65347,0.77855,0.51124,1.20857,1.46309,1.20887,0.00365,0.00365,0.00365
11,2042.92,1.14755,1.29486,1.24788,0.89719,0.69125,0.82294,0.54066,1.1495,1.3488,1.19036,0.0035,0.0035,0.0035
12,2203.41,1.15819,1.29392,1.25003,0.80903,0.74257,0.80689,0.55285,1.07233,1.26136,1.13675,0.00335,0.00335,0.00335
