epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,222.239,1.62923,1.83687,1.58224,0.4474,0.32673,0.30003,0.10407,2.41425,2.60459,2.14852,0.07327,0.00027,0.00027
2,546.291,1.55093,1.60711,1.57736,0.54355,0.41267,0.45242,0.2053,2.06054,2.54089,1.9128,0.0455322,0.000532217,0.000532217
3,815.822,1.56643,1.62598,1.61523,0.69585,0.5,0.5704,0.28766,1.93445,2.40863,1.8954,0.0177763,0.000776327,0.000776327
4,1037.99,1.61041,1.69143,1.64503,0.59894,0.5495,0.60257,0.33789,1.52301,5.33279,1.56593,0.000903,0.000903,0.000903
5,1258.56,1.54589,1.60821,1.62482,0.67663,0.49505,0.59369,0.29946,1.75272,3.56001,1.66326,0.000870667,0.000870667,0.000870667
6,1480.52,1.56847,1.60198,1.63004,0.84275,0.58369,0.71536,0.36112,1.68722,1.57447,1.62501,0.000838333,0.000838333,0.000838333
7,1699.33,1.51342,1.59481,1.6172,0.81753,0.57669,0.71834,0.38752,1.67543,1.82376,1.59566,0.000806,0.000806,0.000806
8,1921.9,1.54959,1.61053,1.64241,0.80941,0.62871,0.75543,0.40891,1.6848,1.67728,1.57482,0.000773667,0.000773667,0.000773667
9,2141.67,1.51036,1.5841,1.59449,0.84442,0.58416,0.71841,0.38582,1.69986,1.58644,1.55714,0.000741333,0.000741333,0.000741333
10,2365.54,1.47403,1.48711,1.5651,0.78044,0.64851,0.72097,0.3675,1.67977,1.45397,1.56565,0.000709,0.000709,0.000709
11,2590.1,1.48871,1.47836,1.59044,0.82178,0.65842,0.73369,0.36186,1.82181,1.58949,1.65594,0.000676667,0.000676667,0.000676667
12,2825.29,1.50622,1.50702,1.57242,0.75986,0.64226,0.74778,0.37142,1.76343,1.66462,1.58572,0.000644333,0.000644333,0.000644333
13,3082.43,1.41259,1.4734,1.52435,0.87837,0.68317,0.80203,0.45,1.6008,1.31815,1.48487,0.000612,0.000612,0.000612
14,3417.44,1.4728,1.40883,1.56522,0.83475,0.67522,0.78623,0.42435,1.63373,1.2548,1.52009,0.000579667,0.000579667,0.000579667
15,3746.36,1.42538,1.41408,1.53213,0.79825,0.66832,0.75666,0.38079,1.74523,1.3177,1.59082,0.000547333,0.000547333,0.000547333
16,4079.03,1.39464,1.3638,1.52278,0.82661,0.68317,0.78406,0.42941,1.5972,1.22816,1.48866,0.000515,0.000515,0.000515
17,4335.3,1.38379,1.33242,1.48958,0.85101,0.67862,0.79853,0.43037,1.69796,1.19556,1.49476,0.000482667,0.000482667,0.000482667
18,4551.44,1.38149,1.36967,1.47787,0.90775,0.67822,0.80506,0.46409,1.55848,1.19448,1.41582,0.000450333,0.000450333,0.000450333
19,4768.35,1.32408,1.26533,1.44291,0.83641,0.70297,0.80194,0.48102,1.42539,1.1295,1.38948,0.000418,0.000418,0.000418
20,4996.36,1.32151,1.28423,1.44589,0.78691,0.73267,0.82122,0.46718,1.56358,1.1173,1.42937,0.000385667,0.000385667,0.000385667
21,5226.67,1.32156,1.2281,1.45891,0.86674,0.67327,0.82718,0.4457,1.65036,1.06872,1.45356,0.000353333,0.000353333,0.000353333
22,5455.49,1.33774,1.25404,1.46384,0.8988,0.65954,0.82924,0.52198,1.35778,1.00631,1.3276,0.000321,0.000321,0.000321
23,5685.33,1.31488,1.23629,1.44132,0.87034,0.69786,0.82785,0.4526,1.62338,1.07239,1.44276,0.000288667,0.000288667,0.000288667
24,5988.3,1.31043,1.22824,1.43887,0.8837,0.71474,0.84162,0.52016,1.35803,0.95036,1.30898,0.000256333,0.000256333,0.000256333
25,6288.71,1.25524,1.16498,1.39366,0.90618,0.71724,0.84681,0.47926,1.51143,0.99399,1.37038,0.000224,0.000224,0.000224
26,6509.42,1.24271,1.117,1.37549,0.80682,0.75248,0.84196,0.50416,1.45559,0.9861,1.34242,0.000191667,0.000191667,0.000191667
27,6732.36,1.22031,1.12511,1.38195,0.84438,0.75743,0.85099,0.48543,1.50455,0.99979,1.37836,0.000159333,0.000159333,0.000159333
28,7320.09,1.03428,0.90964,1.22801,0.85736,0.75743,0.85029,0.47259,1.55196,1.0506,1.40528,0.000127,0.000127,0.000127
29,7532.14,1.02051,0.88152,1.22976,0.84059,0.78313,0.86393,0.52317,1.42407,0.97228,1.34567,9.46667e-05,9.46667e-05,9.46667e-05
30,7744.97,0.97855,0.79049,1.19111,0.86795,0.78094,0.87237,0.54355,1.3514,0.9092,1.30174,6.23333e-05,6.23333e-05,6.23333e-05
